text,date,message_id,has_media,react1,count1,react2,count2,react3,count3,react4,count4,react5,count5
"به نام خدایی که عزت انسان ها در دست اوست❤️

از خدا مهربانتر سراغ ندارم، خدایا عاقبت بخیرمون کن، تو توانا و دستگیری🙏

‌🆔 @GizmizTel 💯",2024-10-26 21:32:39+00:00,127911,1,❤,658,👍,81,👎,17,🤯,5,🥰,4
"خیلی اتفاقی موقع حمله اسرائیل بالای کوه بودن و تمام درگیری بین پدافند و موشک ها رو دیدن و ضبط کردن

ویدئوی جالبیه

‌🆔 @GizmizTel 💯",2024-10-26 21:32:39+00:00,127910,1,👍,527,❤,80,👎,34,😢,9,🥰,4
"واکنش یه شیرازی به حملات دیشب😄

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127909,1,🤣,326,👎,29,👍,7,😁,5,🥰,1
"آقا رشید و دیگر هیچ

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127908,1,🤣,395,👍,23,👎,17,😁,5,😍,3
"باز تو بیمارستان ما سوپرایز شدیم! مامان نی‌نی متولد ۸۸ و مامان‌بزرگ نی‌نی متولد ۷۰

اونوقت دهه شصتیا هنوز دربدرن
نه تنها از مادرش بزرگترم، از مادربزرگشم سنم بیشتره… 🤦🏻‍♂️
سال ۸۸ من کنکور دادم…

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127907,1,👎,771,🤣,137,🤯,125,❤,50,👍,31
"توضیح تمامی فلسفه ها در 8 دقیقه 

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127906,1,👍,74,👎,8,❤,5,👌,3,🤣,2
"با دیدن این ویدیو، یکی از دغدغه‌های سینماییم تموم شد:))

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127905,1,👍,139,🤣,25,😁,7,👎,4,none,0
"همیشه عاشق کار صنعتی بودم و هستم . به خصوص تراشکاری و CNC و اینها . 
این یکی هم که شاهکاره ...

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127904,1,👍,268,❤,64,👌,11,🤯,5,👎,1
"موزِ پوست‌قرمز دیده بورین؟
بافتی نرم‌تر و مزه‌ای شیرین‌تر از موز زرد دارد و بعضی از انواع آن مزه‌ای شبیه تمشک دارند!

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127903,1,❤,168,😍,56,👍,19,👎,14,😐,14
"شعر خوانی شهید نسل جدید ارتش که شب گذشته در حمله اسرائیل به شهادت رسید/ شهید سجاد منصوری

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127901,1,❤,918,😢,213,🤣,14,👎,9,😍,2
"پیام عبری دیوارنگاره میدان فلسطین تهران به صهیونیست‌ها پس از تجاوز به خاک ایران و شهادت ۴ مدافع وطن: طوفان دیگری در راه است...

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127900,1,❤,840,🤣,136,👎,126,👍,56,👌,25
"وضعیت اسرائیل بعد حمله دیشب

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127899,1,🤣,421,👎,66,👍,13,😡,6,🤔,2
"آقایونِ آشپز، درسته؟😂

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127898,1,🤣,270,👎,31,👍,11,🤯,8,😢,6
"ما دیگه حذف شدیم😂

میگه ما کپی نمی کنیم الهام می گیریم...!
تو روحت...!😁

‌🆔 @GizmizTel 💯",2024-10-26 21:32:38+00:00,127897,1,🤣,319,👍,38,👎,27,😁,21,😢,4
"چقدر این آقا رشید نمکه😂

🆔 @GizmizTel 💯",2024-10-26 16:31:21+00:00,127896,1,🤣,3438,👎,253,❤,162,👍,157,😡,33
"‏مهریه و ازدواج عجیب🤯

فقط قسمت ""همسایگی مهران مدیری""😂 مهران مدیری هرجا رفت اینا هم میرن؟ چه سمی بود دیدم🤣

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127893,1,👎,5096,🤣,780,😐,523,😡,306,👍,133
"مدل هالووینی جدید رسید ://

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127892,1,❤,1828,👎,1203,👌,329,🤣,166,👍,108
