text,date,message_id,has_media,react1,count1,react2,count2,react3,count3,react4,count4,react5,count5
"من تو‌ راهنمایی میخواستم موهای پاهام رو بزنم، مامانم فاکینگ دو سال بهم اجازه نمیداد. آخرش با این شرط اجازه داد که کل پاهام رو بند بندازه. میخواست مثلا دردم بیاد و منصرف بشم. یه آخ هم نگفتم، خیلی هم درد داشت. سر چه چرت‌و‌پرت‌هایی ما زجر کشیدیم. 
 
*گیو*

@OfficialPersianTwitter",2024-10-27 06:34:01+00:00,398303,0,😢,236,👍,79,😁,12,🥴,10,❤,3
"پانزده سال پیش با ۴۵۰ هزار تومان ماشین لباسشویی خریدم و دیروز با ۶۰۰ هزار تومان سه‌راهی برق.
پارو بزن ایرانی! 
 
*خسرو معصومی*

@OfficialPersianTwitter",2024-10-27 06:27:01+00:00,398302,0,😢,276,👍,50,😁,16,😭,12,🎃,4
"زیست کوفت، شما علوم دبستان هم نخوندید یعنی؟ 😭   
 
*mo*

@OfficialPersianTwitter",2024-10-27 06:21:01+00:00,398301,1,🤣,469,😐,93,😁,51,🥴,13,👍,10
"محکومیت ۳ متهم پرونده «کینگ مانی» به حبس‌های طویل‌المدت

 رئیس کل دادگستری استان تهران:

 🔹بر اساس رأی صادره در خصوص بخش اول پرونده مذکور، سه نفر از اشخاص حقیقی و یک شخص حقوقی متهم در این پرونده به اتهام اخلال در نظام اقتصادی کشور از طریق مشارکت در کلاهبرداری شبکه‌ای از طریق ایجاد رمزارز جعلی به نام «کینگ‌مانی» و توزیع آن در بین مردم، محکومیت یافتند که از این تعداد، سه نفر از اشخاص حقیقی به حبس‌های طویل‌المدت محکوم شدند و شرکت «بادران گستران» به ممنوعیت از فعالیت شغلی با استفاده از هر گونه رمزارز به مدت دو سال محکوم شد.

*OPT*

@OfficialPersianTwitter",2024-10-27 06:18:01+00:00,398300,0,👍,40,🤣,2,❤,1,😁,1,😡,1
"اعتراض ایران به AFC و شکایت از کره شمالی

فدراسیون فوتبال ایران:

🔹ایران رسماً از AFC درخواست می‌کند تا کنترل سنی بازیکنان زیر ۱۷ سال کره شمالی را به دلیل استفاده از بازیکنان فاقد شرایط در نظر بگیرد.

🔹حتی از نظر بصری هم ویژگی‌های فیزیکی و ساختار بدنی برخی از بازیکنان کره شمالی نشان می‌دهد که آنها احتمالا بیش از ۱۷ سال سن دارند.

*OPT*

@OfficialPersianTwitter",2024-10-27 06:16:01+00:00,398299,0,👍,73,🤣,62,😁,17,❤,5,👎,1
"چه روز زیبایی، هر استوری‌ای باز می‌کنم اکسم و دوست صمیمی دارن قر می‌دن، دوستم لباس عروس تنشه و اکسم داماده :)))) 

*اسکارلت اوهارا هستم، متعهد به رِت باتلر*

@OfficialPersianTwitter",2024-10-27 06:13:01+00:00,398298,0,😢,423,🤯,73,😁,29,🤣,12,👍,9
"🔹 یک گلوله آتشین درخشان که گمان می رود یک شهاب سنگ باشد، دیشب بر فراز آدانا، ترکیه مشاهده شد.

*OPT*

@OfficialPersianTwitter",2024-10-27 06:11:01+00:00,398297,1,❤,52,🤯,16,👍,10,😁,1,😈,1
"از اتاق پرو عمومی اومدم بیرون ببینم شلواری که پرو کردم رنگ دیگه چی داره، برگشتم دیدم شلوار خودم نیست. رفتم بیرون دیدم شلوارم روی دوش یه زنه‌اس داره می‌گرده لای لباس‌ها. گفتم ببخشید این شلوار منه برداشتی. گفت من اول دیدمش. بعد که حالیش کردم شلوار توی پام بوده، پرتش کرد سمتم :))))) 

*Maryam*

@OfficialPersianTwitter",2024-10-27 06:07:10+00:00,398296,0,🤣,781,😐,119,😁,19,👍,9,🥴,2
"وضعیت آرایشگاه های مردونه پایین شهر : )))   
 
* مـجـیدمـون+🗼*

@OfficialPersianTwitter",2024-10-27 06:01:58+00:00,398295,1,🤣,769,😁,74,👍,66,👎,4,❤,3
"عاقا! آب دستتونه بذارید زمین برید با notebookLM گوگل درس بخونید😂 جزواتمو آپلود کردم توش و برام یه پادکست با ای آی برام جنریت کرده ازش که کرک و پرم ریخت!!! 
 
*پغیزا👩🏼‍💻*

@OfficialPersianTwitter",2024-10-27 05:53:01+00:00,398294,0,👍,183,😐,41,🤣,12,👎,4,🔥,4
